text,condition
我的幼犬在室内拉肚子，看起来很急。,Digestive Issues
狗狗患有严重的跳蚤感染，需要立即治疗。,Parasites
仓鼠尾部周围有湿润和刺激症状（湿尾症）,Skin Irritations
我的雪貂在磨牙，且大便呈黑色柏油状。,Digestive Issues
我的狗一直啃咬尾巴根部，那里的毛发正在变稀。,Parasites
我的狗会疯狂地吃草，然后吐出泡沫。,Digestive Issues
小猫频繁打喷嚏，可能是鼻腔寄生虫吗？,Parasites
兔子不再梳理毛发，毛发看起来很凌乱。,Digestive Issues
我家老狗便秘，排便时很费力。,Digestive Issues
猫每周呕吐一次未消化的食物，除此之外看起来一切正常。,Digestive Issues
狗狗在草地上撒欢，四肢协调能力很好。,Normal
我的兔子感染了行走性头虱,Parasites
我的狗不停地抓挠，我发现有细小的棕色虫子在它身上爬。,Parasites
狗患上了游泳耳。,Ear Infections
我的豚鼠眼睛周围出现了鳞状斑块。,Skin Irritations
幼犬感染蠕形螨，导致局部脱毛。,Parasites
我的猫舔得肚子都破皮了，尤其是在吃了某些食物之后。,Skin Irritations
兔子不停摇头并抓挠耳后。,Parasites
我的狗被蜱虫叮咬后检测出无形体病阳性。,Parasites
狗狗今天剪了个新发型，整个人神清气爽。,Normal
我家狗小跑时后腿有时会跳过一两步。,Mobility Problems
我的狗走路时偶尔会抬起后腿（蹦跳）。,Mobility Problems
猫已24小时对食物毫无兴趣。,Digestive Issues
猫咪的鼻头湿润凉爽，是健康的表现。,Normal
狗狗今天胃口很好，把碗里的狗粮全部吃光了。,Normal
猫的嘴唇和舌头上长了溃疡。,Skin Irritations
猫比平时不爱玩了。,Mobility Problems
遛狗时我家狗狗总是落在后面，似乎不愿继续前行。,Mobility Problems
我家狗狗的耳廓肿得像气球一样。,Ear Infections
洗澡时检查了全身，没有发现任何疙瘩或红点。,Normal
狗狗蹲下排便有困难，有时会摔倒。,Mobility Problems
我家小猫耳朵后面长了痂。,Skin Irritations
宠物从躺卧状态起身困难,Mobility Problems
我的幼犬便便后会在地毯上拖着屁股走。,Parasites
猫咪多个关节周围出现疼痛性肿胀,Mobility Problems
我家狗狗的膝盖看起来肿胀，摸起来发热。,Mobility Problems
狗狗的耳朵触痛且有酵母味,Ear Infections
狗狗突然出现水样喷射性腹泻。,Digestive Issues
我的猫出现慢性呼吸道症状后，被诊断出患有肺线虫。,Parasites
我的狗是可卡犬，我知道这个品种容易出现耳部问题。,Ear Infections
我的狗患有摇摆性脑干综合征。,Mobility Problems
我的狗突然出现严重的腹部胀气。,Digestive Issues
豚鼠有头皮屑，抚摸时似乎感到不适。,Skin Irritations
我给兔子喂了太多水果，它随后出现了腹泻。,Digestive Issues
猫脸上有个肿块，像脓肿一样。,Skin Irritations
在狗狗刚排出的粪便里发现了一条长而扁平的白色蠕虫。,Parasites
我家幼犬耳朵里卡了东西（草籽？）。,Ear Infections
雪貂因耳螨刺激而摇头。,Parasites
我的幼犬洗澡后仅几天就出现头皮屑,Skin Irritations
我的猫会捕鼠，我需要担心寄生虫吗？,Parasites
猫喝完水后立即呕吐。,Digestive Issues
雪貂进食后不久就呕吐出未消化的食物。,Digestive Issues
我的狗不停地舔前爪，兽医提到可能是蠕形螨。,Parasites
狗狗发抖或颤抖，看起来很痛苦。,Mobility Problems
给狗狗清理耳道时，耳道容易出血。,Ear Infections
帮小狗修剪了脚缝毛，脚垫看起来很干净。,Normal
雪貂出现歪头症状,Ear Infections
狗狗时好时坏地呕吐和腹泻。,Digestive Issues
我的猫不再使用猫砂盆了，可能是因为进不去。,Mobility Problems
小猫感染球虫，导致血便。,Parasites
猫咪体重下降，但食量比平时大。,Digestive Issues
我的狗有肌肉萎缩。,Mobility Problems
给宠物换了新口味的肉干，它吃得很香。,Normal
我的猫有口臭，偶尔会呕吐泡沫。,Digestive Issues
狗狗在院子里用力排便，但只排出少量液态粪便。,Digestive Issues
我的兔子耳朵附近长了脓肿。,Ear Infections
狗狗在长期瘙痒的部位皮肤增厚，像大象的皮肤一样。,Skin Irritations
兔子的一只耳朵有脓液流出。,Ear Infections
兔子耳根周围有结痂和脱发,Ear Infections
猫背部毛发油腻且打结。,Skin Irritations
我家猫的脚垫上出现了溃疡,Skin Irritations
我的兔子不停地抓挠喉囊。,Skin Irritations
狗狗看起来很恶心（流口水、舔嘴唇），而且拒绝吃它最喜欢的零食。,Digestive Issues
狗狗的眼神充满好奇，没有涣散感。,Normal
小猫驱虫后仍持续腹泻,Parasites
雪貂精神萎靡、拒食，呕吐过一次。,Digestive Issues
兔子后臀部毛发打结，下方皮肤有刺激症状。,Skin Irritations
狗狗参加跳水后可能患上了游泳耳。,Ear Infections
狗狗的血肿在引流后会不断重新积聚，还有耳部感染。,Ear Infections
雪貂后腿似乎无力，走路时会稍微拖着后腿。,Mobility Problems
小狗今天在公园里和其他小伙伴玩得不亦乐乎。,Normal
我的狗走路时髋关节会发出咔嗒声。,Mobility Problems
兽医拉伸猫咪后腿时，它表现出疼痛反应。,Mobility Problems
幼犬脸上出现局限性蠕形螨病。,Parasites
我家狗狗的口气特别难闻，几乎像下水道一样。,Digestive Issues
狗狗皮肤发红、发炎，上面有黑色小点（像污垢），遇水后会变红。,Parasites
猫咪背部布满细小的结痂，摸起来像砂纸一样。,Parasites
我的猫吃完东西后似乎会干呕或咳嗽。,Digestive Issues
给小猫剪了指甲，它很配合，指甲很整洁。,Normal
给小狗准备了新鲜的饮用水，它喝了不少。,Normal
幼犬毛发黯淡且体重不足,Parasites
狗走路摇摇晃晃，经常摔倒。,Mobility Problems
兔子全身看起来很虚弱。活动能力问题,Mobility Problems
兔子因感染兔弓形虫出现神经系统问题（头部倾斜、虚弱）。,Mobility Problems
雪貂毛发上有细小的黑点，可能是污垢或虫子。,Skin Irritations
猫一只脸出现面神经麻痹（半边脸下垂）。,Ear Infections
小猫的耳朵内侧呈淡粉色，很干净。,Normal
猫突然出现平衡失调和打转现象。,Ear Infections
当我触摸猫咪的肚子时，它会畏缩并身体紧绷。,Digestive Issues
兔子患有耳螨，导致炎症和头部倾斜。,Parasites
狗狗腹泻，粪便有鱼腥味。,Digestive Issues
兔子似乎无法正常活动后腿。,Mobility Problems
我家狗的大腿肌肉看起来比以前瘦了。,Mobility Problems
狗狗连续三天大便呈布丁状。,Digestive Issues
我的猫有跳蚤和绦虫。,Parasites
我的兔子把腹部贴在地上。,Digestive Issues
我家狗狗皮肤下长了一个充满液体的巨大肿块（囊肿？）。,Skin Irritations
我给猫滴耳药时，它会反抗并哭叫。,Ear Infections
狗狗的肘部长了老茧，现在开始开裂了。,Skin Irritations
我的狗经X光检查确诊患有严重的髋关节发育不良。,Mobility Problems
猫不再喜欢待在高处，活动能力下降,Mobility Problems
猫的关节明显肿胀，尤其是腕关节（腕骨）。,Mobility Problems
猫咪今天喝水量正常，精神头很足。,Normal
我的狗患有重症肌无力，导致身体虚弱。,Mobility Problems
豚鼠正在疯狂抓挠，看起来很痛苦。,Parasites
我家狗走路时指甲在地面上刮擦。,Mobility Problems
我猫的（粟粒性皮炎）是由跳蚤引起的。,Parasites
我的狗洗澡后耳朵里积了水,Ear Infections
宠物对外界的声音反应正常，听力很敏锐。,Normal
我的狗后肢逐渐无力，被诊断为糖尿病性肌病（DM）。,Mobility Problems
我的仓鼠皮下长了一个肿块。,Skin Irritations
我的狗患有骨肉瘤（骨癌）。,Mobility Problems
我的兔子周围留下了大块软软的、未被吃掉的盲肠粪。,Digestive Issues
我的猫开始在猫砂盆旁边小便，而不是爬进去。,Mobility Problems
我的狗被诊断出髋关节和膝关节患有关节炎。,Mobility Problems
兔子后脚掌出现红肿和脱毛。,Skin Irritations
猫咪喜欢躲在纸箱里玩捉迷藏，非常活泼。,Normal
狗狗毛发干燥易断，皮肤有脱屑现象。,Skin Irritations
检查了宠物的牙缝，没有残留物。,Normal
我的兔子臀部附近可见蛆虫。,Parasites
猫咪对新猫粮适应很快，没有任何排斥。,Normal
兔子后脚掌出现红肿和脱毛。,Skin Irritations
狗狗腋下皮肤发黑、增厚且发痒。,Skin Irritations
小狗早晚各喂一次，进食规律，体型标准。,Normal
我的兔子被家里的狗传染了跳蚤。,Parasites
狗狗腹泻，粪便有金属味，像血一样。,Digestive Issues
狗狗一夜之间突然出现大量水样腹泻。,Digestive Issues
狗狗洗澡时不吵不闹，配合度很高。,Normal
豚鼠的毛发里有白色、像灰尘一样的颗粒。,Parasites
豚鼠脚部肿胀（趾间炎）,Mobility Problems
狗狗的粪便呈黑色，像沥青一样。,Digestive Issues
猫咪喝水频率正常，没有频繁去水盆。,Normal
我的兔子下颌下方出现了一个大肿块。,Skin Irritations
小狗玩水管时耳朵进水了。,Ear Infections
狗狗的脱发区域呈牵引绳/项圈的轮廓线分布。,Skin Irritations
雪貂用爪子挠嘴，看起来有恶心感,Digestive Issues
我的狗吃了鸡骨头，现在精神萎靡且排便困难。,Digestive Issues
我家狗走路步子短促、断断续续。,Mobility Problems
幼犬正在接受疥癣（疥螨病）治疗,Parasites
幼犬出现间歇性腹泻，有时正常，有时稀便。,Digestive Issues
猫咪便秘，排出非常硬且干燥的粪便。,Digestive Issues
幼犬用新洗发水洗澡后皮肤轻微脱皮。,Skin Irritations
我的鹦鹉被诊断出感染了贾第虫。,Parasites
狗狗腹泻，粪便中可见未消化的狗粮碎块。,Digestive Issues
我的狗有食物过敏，这会引发耳部感染。,Ear Infections
狗狗站立时有时会发抖，尤其是后腿。,Mobility Problems
我的兔子在啃咬自己的腹侧。,Skin Irritations
我的狗有时会拖着后脚趾甲走，发出刮擦声。，运动功能障碍,Mobility Problems
今天给小狗修剪了眼角的毛，视野更好了。,Normal
我的猫在项圈周围抓挠得皮开肉绽。,Skin Irritations
我的猫皮肤呈鳞片状，仔细观察时似乎在移动。,Parasites
我的猫总是把头歪向一侧。,Ear Infections
狗狗的毛发质地坚韧，营养吸收得不错。,Normal
给狗狗买了新玩具，它咬着球跑来跑去。,Normal
幼犬因换粮过快出现腹泻,Digestive Issues
猫咪用头侧蹭地板和家具。,Ear Infections
猫咪在屋里巡视，步伐轻快优雅。,Normal
我的狗看起来焦躁不安，饭后不停踱步。,Digestive Issues
我的雪貂在猛烈抓挠耳朵。,Ear Infections
宠物今天精神状态极佳，反应速度很快。,Normal
我家狗狗身上有个圆形皮损，中心正在愈合，但边缘在向外扩散。,Skin Irritations
我的狗在年度筛查中被检测出埃立克体病呈阳性。,Parasites
我家狗的腹部突然变得紧绷且肿大。,Digestive Issues
幼犬进食数小时后呕吐出未消化的食物,Digestive Issues
我的狗乞讨食物，但当我递给它时却走开了。,Digestive Issues
我的豚鼠抓挠过度，已经出现溃疡。,Parasites
我的猫吐出了一片室内植物的叶子。,Digestive Issues
今天用湿纸巾擦了擦小狗的爪子，去掉了泥垢。,Normal
小猫灵活地跳上了柜子顶部，动作轻盈。,Normal
兔子精神萎靡且食欲不振，可能是因为疼痛。,Mobility Problems
猫突然后腿无法活动，摸起来冰凉。,Mobility Problems
小狗的反应很灵敏，叫它名字立刻就抬头。,Normal
我家狗狗一有客人来或外出旅行就会腹泻。,Digestive Issues
我的猫似乎头晕，走路踉跄且绕圈走。,Ear Infections
我的猫吞咽困难。,Digestive Issues
我的猫流口水过多，还用爪子挠嘴巴。,Digestive Issues
小猫对新猫粮适应很快，没有任何不适。,Normal
豚鼠会出现剧烈的瘙痒发作，有时看起来像癫痫发作。,Skin Irritations
狗狗耳廓外侧出现红肿，且范围正在扩大。,Ear Infections
我的狗患有髋关节发育不良。,Mobility Problems
兔子拖着一只后腿走。,Mobility Problems
我的杜宾犬患有摇摆性脊髓病，导致步态笨拙。,Mobility Problems
宠物的被毛没有异味，洗护效果很好。,Normal
我家猫背部沿脊椎的毛发看起来油腻且打结。,Skin Irritations
宠物的皮肤没有红斑，摸起来很平滑。,Normal
猫一直啃咬后腿，导致皮肤破损。,Skin Irritations
雪貂频繁用身体摩擦家具。,Skin Irritations
狗狗拉出了像树莓果酱一样的稀便。,Digestive Issues
狗狗玩耍后左前腿开始跛行。,Mobility Problems
我轻轻清理狗狗的耳道时，耳道会出血。,Ear Infections
我的幼犬站立时似乎不稳，好像房间在旋转一样。,Ear Infections
我的雪貂内耳廓看起来发红且有刺激症状。,Ear Infections
小猫在屋里走动，步伐轻快且优雅。,Normal
我家猫以前很爱追激光笔，现在却只是看着。,Mobility Problems
我家小狗从领养回来后一直大便稀软。,Digestive Issues
我的猫今天呕吐了好几次，现在躲起来了。,Digestive Issues
小猫的毛色鲜艳，没有异常掉毛。,Normal
我的幼犬耳朵里可能卡了狐尾草或草籽。,Ear Infections
我的狗出现了头部倾斜的症状,Mobility Problems
我的猫似乎有跳蚤，而它平时用的滴剂无法杀死这些跳蚤。,Parasites
我的狗有口臭，闻起来像粪便。,Digestive Issues
幼犬感染了蛔虫和钩虫。,Parasites
豚鼠的脚红肿。,Skin Irritations
我新领养的小猫肚子特别圆，似乎长得不太好。,Parasites
狗狗不停地把脸蹭地毯。,Skin Irritations
狗狗热身后的跛行几乎看不出来，但刚站起来时很明显。,Mobility Problems
我的猫走路时头部向右侧严重倾斜。,Ear Infections
我的猫脊椎沿线长了肿块。,Skin Irritations
我的狗平衡能力有问题。,Mobility Problems
我的幼犬嘴部和脸部出现肿胀。,Skin Irritations
幼犬呕吐出嚼碎的布料碎片。,Digestive Issues
小猫的尾巴毛发蓬松，自理能力非常强。,Normal
日常观察记录：各项生理指标均在正常范围。,Normal
狗狗在咬尾巴附近的后臀部位。,Skin Irritations
猫咪打哈欠或进食时会因疼痛而哀叫。,Ear Infections
狗昨晚翻了厨房垃圾桶，现在腹泻得很厉害。,Digestive Issues
猫呕吐出类似咖啡渣的物质,Digestive Issues
我的幼犬似乎肠胃敏感，很容易腹泻。,Digestive Issues
雪貂贫血，可能是跳蚤引起的。,Parasites
今天带我家的狗去游泳了，它很有活力,Normal
我的狗走路似乎摇摇晃晃，动作不协调，尤其是后腿。,Mobility Problems
我的雪貂因耳朵问题显得无精打采。,Ear Infections
兔子看起来无精打采，喝水很少。,Digestive Issues
豚鼠的后腿似乎完全无力。,Mobility Problems
我的鸟儿躁动不安，一直在啄自己的羽毛，我好像看到有小虫子。,Parasites
我家狗的前腿在腕关节处似乎向外弯曲。,Mobility Problems
洗完澡后给狗狗擦干了耳朵，防止潮湿。,Normal
小狗的被毛很有光泽，摸起来质地很好。,Normal
我的猫感染了弓形虫，我正在怀孕，很担心。,Parasites
我的幼犬腹部出现类似痤疮的症状。,Skin Irritations
我的兔子经常伸展身体，看起来很不舒服。,Digestive Issues
小狗进食很规律，一碗饭很快就吃完了。,Normal
我的猫吐出了一片植物叶子。,Digestive Issues
狗狗追松鼠后开始抬起右后腿。,Mobility Problems
检查了一下耳朵，里面很干净，没有黑色的脏东西。,Normal
猫咪在耳朵后方和下方抓挠得毛发脱落了。,Ear Infections
狗狗回家后安静地休息，呼吸平稳。,Normal
我的猫吐出了一条虫,Digestive Issues
我家的狗今天早上突然站不起来，痛得直叫。,Mobility Problems
猫咪的耳朵内壁呈淡粉色，非常干净。,Normal
狗狗患有跳蚤过敏性皮炎，对跳蚤唾液反应强烈。,Parasites
我家雪貂的腹部有发红、发炎的斑点。,Skin Irritations
我家狗原本粉红的皮肤上出现了深色色素沉着。,Skin Irritations
我的狗在服完药后不久，耳朵感染又复发了。,Ear Infections
我的猫似乎患有深层耳部炎症。,Ear Infections
猫突然无法使用后腿，并因疼痛而哀叫。,Mobility Problems
耳道似乎变窄且肿胀闭合。,Ear Infections
我狗狗的耳道口看起来肿胀，几乎闭合了。,Ear Infections
幼犬皮肤褶皱处发红且有刺激症状,Skin Irritations
狗狗对多种滴耳液产生了耐药性。,Ear Infections
我的狗需要接受心丝虫感染的治疗。,Parasites
小猫的爪子上毛发脱落了。,Skin Irritations
兔子总是歪着头，看起来有些站不稳。，运动功能障碍,Mobility Problems
雪貂出现鲜绿色腹泻,Digestive Issues
我的狗因跳蚤叮咬引发了继发性皮肤感染。,Parasites
狗狗吃了巧克力，现在呕吐且过度活跃。,Digestive Issues
仓鼠肛门周围有粪便污渍,Digestive Issues
我的狗后肢肌肉明显萎缩。,Mobility Problems
我的仓鼠毛发似乎油腻，背部正在脱发。,Skin Irritations
小狗今天驱虫很顺利，没有任何过敏反应。,Normal
狗狗的年度疫苗接种完毕，医生给了健康证明。,Normal
如果我轻轻捏小狗的耳根，它会呜咽。,Ear Infections
兔子不吃颗粒饲料，只啃食蔬菜。,Digestive Issues
我的兔子鼻子和嘴巴周围有结痂的溃疡。,Skin Irritations
我家狗狗跛行在运动后有所改善，但休息后又复发。,Mobility Problems
我的豚鼠粪便比平时小且少。,Digestive Issues
今天给小狗刷了牙，牙龈颜色红润，呼吸清新。,Normal
我家小猫脸上出现了类似癣的环状斑块。,Skin Irritations
我家猫的眼睛快速来回转动。,Ear Infections
我的豚鼠两侧皮肤发红且有结痂。,Skin Irritations
我的兔子喉囊总是湿漉漉的，下面的皮肤发红。,Skin Irritations
我家猫的毛发看起来暗淡无光且凌乱，身上还有皮屑。,Skin Irritations
我的兔子耳朵发红，还有难闻的气味。,Ear Infections
早起带狗散步，它一路上摇着尾巴，非常兴奋。,Normal
狗狗散步时很快就累了，想提前折返。,Mobility Problems
我的狗脊椎沿线皮肤有脱屑现象,Parasites
猫因抓挠导致耳朵周围有抓痕和结痂,Ear Infections
我家狗狗前腿走路时步幅很短，步态僵硬。,Mobility Problems
狗狗的耳朵结痂，并散发出霉味。,Ear Infections
猫咪眼睛和耳朵周围出现脱发,Parasites
我家幼犬耳朵里有黑色小点，兽医怀疑是螨虫。,Ear Infections
我的兔子因疥螨导致耳朵严重结痂。,Parasites
兔子失去平衡。,Ear Infections
我家猫的耳部感染对多种抗生素都耐药。,Ear Infections
豚鼠一直待在笼子的一角，不四处活动。,Mobility Problems
观察了几天，宠物的粪便成型且颜色正常。,Normal
豚鼠毛发上可见虱子在爬行。,Parasites
雪貂两只耳朵里都有非常浓稠、深色、蜡状的分泌物。,Ear Infections
我的狗狗躺下或变换姿势时会呻吟。,Mobility Problems
猫咪躲藏得更多，互动减少。,Mobility Problems
幼犬正在接受疥癣（疥螨病）治疗,Parasites
检查雪貂耳朵时它会尖叫。,Ear Infections
我狗狗的耳朵有酵母味。,Ear Infections
我的暹罗猫耳尖和鼻子上出现了结痂的皮损。,Skin Irritations
兽医诊断狗狗感染了鞭虫，需要使用特定的驱虫药。,Parasites
猫似乎对玩玩具不感兴趣了。,Mobility Problems
我的狗在冰上滑倒后，前腿一直跛行。,Mobility Problems
我家狗狗耳道内的皮肤看起来鲜红且发炎。,Ear Infections
我家狗狗腹部皮肤上出现了深色斑点。,Skin Irritations
定期给小猫梳理被毛，没有发现毛团。,Normal
我的猫身上有对所用滴剂产生抗药性的跳蚤。,Parasites
我的狗放屁气味极其难闻。,Digestive Issues
狗狗排便费力，只排出少量液体。,Digestive Issues
我的幼犬虽然驱过虫，但偶尔还是会腹泻。,Parasites
我的猫对抚摸背部很敏感。,Skin Irritations
雪貂走路非常僵硬，尤其是后半身。,Mobility Problems
狗狗活动量减少，比平时睡得更多。,Mobility Problems
我的兔子因坐姿异常，跗关节处出现了溃疡。,Mobility Problems
我的狗脸部褶皱处反复出现皮肤感染。,Skin Irritations
狗狗有慢性瘙痒，主要集中在脚掌、脸部和耳朵。,Skin Irritations
天竺鼠的毛发中可见微小的白色虱子,Parasites
猫咪灵活地跳上了冰箱顶部，动作轻盈。,Normal
我家狗狗的耳部分泌物看起来略带血丝。,Ear Infections
宠物的日常运动量达标，睡得很香。,Normal
我的兔子耳朵根部附近出现了肿胀,Ear Infections
我的幼犬醒来时身体似乎僵硬,Mobility Problems
猫咪的毛色分布均匀，没有异常掉毛区块。,Normal
猫咪的进食习惯很科学，少量多餐。,Normal
豚鼠24小时内未排便,Digestive Issues
我的狗一直偏袒一条腿。,Mobility Problems
我的狗有脱发，似乎有季节性规律。,Skin Irritations
雪貂大便呈黑色柏油状，可能是寄生虫引起的吗？,Parasites
猫咪行动非常谨慎，几乎像是在蛋壳上行走一样。,Mobility Problems
今天用湿巾擦了擦狗狗的爪肚，去掉了灰尘。,Normal
小猫的鼻头润润的，是健康的表现。,Normal
狗狗患有慢性耳部感染，兽医提到可能是过敏。,Ear Infections
猫咪不停舔舐腿部某处，导致该处秃了,Mobility Problems
定期给猫咪梳理长毛，没有发现打结的情况。,Normal
我的雪貂耳朵内侧发红。,Ear Infections
豚鼠体重急剧下降且有腹泻症状,Digestive Issues
狗狗全身剧烈瘙痒，尤其是肘部和耳缘。,Parasites
新买的宠物零食小狗很喜欢，吃得津津有味。,Normal
猫咪背部皮肤有鳞屑,Skin Irritations
今天带狗狗去医院打了年度狂犬疫苗，医生说它很健康。,Normal
猫咪的耳朵非常瘙痒且疼痛，我一碰它就会哭叫。,Parasites
兔子蜷缩着坐着，并磨牙。,Digestive Issues
我的狗即使在休息时也会过度喘气。,Mobility Problems
我的猫喝了很多水，昨天呕吐了两次。,Digestive Issues
今天给宠物使用了护眼液，眼睛更明亮了。,Normal
幼犬的耳朵比身体其他部位摸起来更热。,Ear Infections
幼犬在进食数小时后将晚餐原封不动地呕吐了出来。,Digestive Issues
兔子耳朵有分泌物流出。,Ear Infections
我的狗患有耳部感染，需要长期治疗。,Ear Infections
狗狗的耳部血肿抽干后又立刻积满了,Ear Infections
我的兔子脚后跟长了疮。,Mobility Problems
我的鸟感染了贾第虫。,Parasites
我的猫吐出了粉红色的泡沫。,Digestive Issues
猫咪过度舔舐腹部，导致该处秃了。,Parasites
兔子因无法保持正确姿势而出现尿灼伤。,Mobility Problems
我的猫在粪便中排出了几条长长的、白色的、圆形的蠕虫。,Parasites
我的狗接受了跳蚤治疗后仍持续瘙痒。,Skin Irritations
我的兔子因摩擦笼子导致鼻部出现秃斑。,Skin Irritations
观察了几天，宠物的粪便成型且颜色深。,Normal
我家狗狗脚趾间长了小疙瘩。,Skin Irritations
我的兔子下巴下方长了一个大脓肿。,Skin Irritations
发现猫的粪便中有鲜红色的血丝。,Digestive Issues
我的幼犬一直吃东西，但很瘦，而且大便稀软。,Digestive Issues
宠物的耳朵发红并伴有霉味,Ear Infections
猫的爪子肿胀发红。,Skin Irritations
检查了宠物的牙缝，没有食物残留。,Normal
发现幼犬耳朵里流出了乳黄色分泌物。,Ear Infections
狗狗的耳部感染散发出假单胞菌特有的气味（一种病态的甜味）,Ear Infections
狗狗早晚各喂一次，进食规律，体重稳定。,Normal
我的兔子两只耳朵内侧都有厚厚的、呈鳞片状的结痂。,Ear Infections
我的猫饮水量过多且频繁呕吐。,Digestive Issues
兔子眼睛周围有脱发和脱皮现象。,Skin Irritations
发现狗狗耳廓内有浓稠的深褐色分泌物。,Ear Infections
我的狗身上长了荨麻疹，来得快去得也快。,Skin Irritations
猫全身都有结痂，尤其是背部和颈部。,Parasites
狗狗腹泻，粪便中含有未消化的食物残渣。,Digestive Issues
我的猫经常干呕但吐不出东西,Digestive Issues
我的兔子感染了毛囊螨。,Parasites
狗狗剧烈干呕但吐不出东西。,Digestive Issues
宠物的体温测量结果正常，波动很小。,Normal
我家幼犬耳朵里有像咖啡渣一样的分泌物。,Ear Infections
今天加了点鱼肉，小猫吃得很开心。,Normal
我的豚鼠两侧对称性脱发。,Skin Irritations
我的鸟腿上长了鳞螨。,Parasites
今天给小狗修剪了嘴边的杂毛，看起来清爽多了。,Normal
猫突然不吃平时吃的食物了。,Digestive Issues
豚鼠身上有虱子，肉眼可见的小白点。,Parasites
我家猫的耳垢呈深色，但兽医排除了螨虫感染。,Ear Infections
小猫贫血（牙龈苍白）且精神萎靡，怀疑是跳蚤或寄生虫感染严重。,Parasites
小猫今天胃口很好，把碗里的干粮全部吃光了。,Normal
宠物洗完澡后很清爽，一直在地毯上打滚。,Normal
我抱起雪貂时，它会弓起背。,Mobility Problems
小狗的爪子肉垫弹性很好，没有干燥。,Normal
我家狗狗肚子咕噜咕噜响得很厉害，还不停地舔空气。,Digestive Issues
猫喝了牛奶后拉肚子。,Digestive Issues
我的幼犬经常在地板上拖着屁股摩擦。,Parasites
兔子的肚子摸起来又硬又胀。,Digestive Issues
狗狗的反应很灵敏，叫它名字立刻就跑过来。,Normal
兔子耳朵里有白色结痂状分泌物。,Skin Irritations
天竺鼠大把掉毛,Skin Irritations
我的狗走路时不再像以前那样抬高腿了。,Mobility Problems
我的狗患有椎间盘疾病（IVDD）。,Mobility Problems
猫咪一直在抓脸，导致眼睛周围出现小伤口。,Skin Irritations
给小狗买了新球，它咬着球跑来跑去。,Normal
狗狗感染了鞭虫，需要特殊的驱虫药。,Parasites
我的狗舔得爪子都破皮了，兽医提到可能是螨虫。,Parasites
我的兔子肛门周围有可见的苍蝇卵,Skin Irritations
猫突然出现头部倾斜。,Ear Infections
兔子歪着头，看起来失去平衡。,Mobility Problems
我的猫以前总睡在上铺，现在却一直待在地板上。,Mobility Problems
猫最近似乎对大声响特别敏感。,Ear Infections
我的小猫鼻梁上的毛脱落了。,Skin Irritations
我家狗狗耳朵内侧的皮肤看起来发红且有炎症。,Ear Infections
狗狗今天玩水了，看起来非常开心。,Normal
我的兔子排出了非常大且软的盲肠粪，且未被吃掉。,Digestive Issues
小狗进食速度正常，没有挑食表现。,Normal
猫大部分时间都躲在隐蔽处睡觉。,Mobility Problems
兔子不再梳理毛发，看起来很邋遢。,Digestive Issues
今天观察了宠物的睡眠，进入深度睡眠很快。,Normal
