text,condition
My dog's paw pads are cracked and bleeding.,Skin Irritations
"My puppy seems to have a sensitive stomach, gets diarrhea easily.",Digestive Issues
My cat's ear infection is resistant to multiple antibiotics.,Ear Infections
Cat developed sudden loss of balance and circling.,Ear Infections
"My dog has scabies, and now I'm itchy too!",Parasites
"Dog ate grapes off the counter, now vomiting.",Digestive Issues
"Dog has oily, smelly skin, especially along the back.",Skin Irritations
My dog's ear infections are a chronic problem requiring ongoing care.,Ear Infections
Cat's ear canal looks very narrow.,Ear Infections
My dog contracted Babesia from a tick.,Parasites
Rabbit has E. cuniculi infection causing neurological/mobility issues.,Mobility Problems
"My dog suddenly couldn't stand up this morning, crying in pain.",Mobility Problems
Cat reacted painfully when the vet extended her hind legs.,Mobility Problems
"My cat only poops every 3-4 days, and the stool is very hard.",Digestive Issues
Guinea pig has flaky skin around its eyes.,Skin Irritations
My budgie has crusty growths around its beak and legs.,Parasites
My cat has developed small scabs scattered throughout her coat.,Skin Irritations
"Cat's claws seem overgrown, maybe not scratching post due to pain.",Mobility Problems
My rabbit stopped eating hay and seems lethargic.,Digestive Issues
Cat developed arthritis in her elbow after an old fracture.,Mobility Problems
"Dog's limp is barely noticeable after warming up, but bad when first rising.",Mobility Problems
Dog is licking the air and swallowing repeatedly.,Digestive Issues
Ferret is vomiting undigested food shortly after eating.,Digestive Issues
Cat cries out when I pick her up around her hips.,Mobility Problems
My ferret shakes its head after cleaning.,Ear Infections
Puppy has moisture in his ears after playing in water.,Ear Infections
My dog has osteosarcoma (bone cancer).,Mobility Problems
The skin inside my dog's ears looks red and inflamed.,Ear Infections
Ferret suddenly became paralyzed in the back legs.,Mobility Problems
Dog is retching forcefully but producing nothing.,Digestive Issues
Rabbit is scratching the base of its ears.,Ear Infections
Rabbit is dragging one of its back legs.,Mobility Problems
Dog has developed resistance to several types of ear drops.,Ear Infections
Puppy walks with a 'bunny hop' gait.,Mobility Problems
My guinea pig is losing hair symmetrically on both sides.,Skin Irritations
Ferret is shaking its head due to ear mite irritation.,Parasites
"Dog has developed moist, red patches under his collar.",Skin Irritations
My rabbit has developed a large abscess under its chin.,Skin Irritations
My rabbit has discharge from its eye on the same side as the droopy ear.,Ear Infections
"My cat brings food back up almost immediately after eating, looks undigested.",Digestive Issues
My guinea pig has sores on the bottoms of its feet.,Skin Irritations
"Guinea pig seems lethargic and thin, maybe internal parasites?",Parasites
"Dog has thickened, rough skin inside the ear canal (cobblestone appearance).",Ear Infections
My rabbit caught fleas from our dog.,Parasites
"My cat has what looks like dandruff, but it moves.",Skin Irritations
"Guinea pig is staying in one corner of the cage, not exploring.",Mobility Problems
"Cat is scratching her neck raw, right where the collar sits.",Skin Irritations
Guinea pig has vitamin C deficiency (scurvy) causing joint pain.,Mobility Problems
Cat has sores on her lips and tongue.,Skin Irritations
Cat has scratches and scabs around her ears from scratching.,Ear Infections
My dog has exercise-induced weakness due to myasthenia gravis.,Mobility Problems
My cat has been hiding under the bed and won't eat.,Digestive Issues
My dog has panosteitis (growing pains).,Mobility Problems
My cat has fleas even though she's an indoor cat.,Parasites
My dog has severe hip dysplasia confirmed by x-rays.,Mobility Problems
My dog has flaky skin along his spine.,Parasites
My rabbit has 'walking dandruff' mites (Cheyletiella).,Parasites
Kitten has Coccidia causing bloody diarrhea.,Parasites
My dog keeps shaking his head violently and scratching at his right ear.,Ear Infections
"My puppy is having diarrhea accidents inside, seems urgent.",Digestive Issues
"Dog has greasy, pale, voluminous stools.",Digestive Issues
Cat is sensitive to noises.,Ear Infections
"Guinea pig is limping, possibly due to lack of Vitamin C.",Mobility Problems
Puppy is small for his age and has chronic soft stools.,Digestive Issues
Rabbit is holding its head tilted and seems unbalanced.,Mobility Problems
My cat has vomited several times today and is now hiding.,Digestive Issues
"My cat has rapid, involuntary eye movements (nystagmus).",Ear Infections
Cat seems deaf in one ear.,Ear Infections
My cat has really bad breath and sometimes vomits yellow foam.,Digestive Issues
"Kitten is anemic (pale gums) and lethargic, suspecting heavy flea or worm burden.",Parasites
Rabbit has a fractured leg.,Mobility Problems
Dog is swallowing repeatedly and licking his nose.,Digestive Issues
My dog has developed dark pigmentation on previously pink skin.,Skin Irritations
My cat vomited pink-tinged fluid.,Digestive Issues
My dog cries when getting up or lying down.,Mobility Problems
My cat has developed a lump that feels fatty under the skin.,Skin Irritations
Rabbit has developed urine scald from inability to posture correctly.,Mobility Problems
Cat is irritable or aggressive when touched in certain areas.,Mobility Problems
"Dog has chronic ear infections, vet mentioned allergies.",Ear Infections
Puppy whimpers if I gently squeeze the base of his ear.,Ear Infections
"Ferret has ear mites, visible as dark debris.",Parasites
Guinea pig's back legs seem completely limp.,Mobility Problems
My guinea pig’s sides are red and scabby.,Skin Irritations
My puppy walks stiffly for the first few steps after waking up.,Mobility Problems
Ferret has itchy skin and some hair loss on its tail.,Skin Irritations
My puppy's littermates also have ear problems.,Ear Infections
My cat's eyes are darting back and forth rapidly.,Ear Infections
My dog walks with his back arched upwards.,Mobility Problems
"Dog's limp is worse after resting (e.g., morning stiffness).",Mobility Problems
Cat is excessively grooming her front legs.,Skin Irritations
My puppy got something stuck in his ear (grass seed?).,Ear Infections
My dog's skin turns red and blotchy after walks in the grass.,Skin Irritations
Dog has intense itching primarily at night.,Skin Irritations
My dog has bone cancer causing severe leg pain.,Mobility Problems
Ferret is vomiting shortly after every meal.,Digestive Issues
"My dog has recurring ear problems, especially after swimming.",Ear Infections
"Cat has been chewing her hind legs, leaving raw spots.",Skin Irritations
Pet ate spoiled food and now has diarrhea.,Digestive Issues
My dog's back legs seem to cross over when he walks.,Mobility Problems
Ferret needs a flea treatment that is safe and effective for them.,Parasites
My dog has intervertebral disc condition (IVDD).,Mobility Problems
Guinea pig is dragging its hind legs behind it.,Mobility Problems
Cat is overgrooming areas near painful joints.,Mobility Problems
My cat has been hiding and refusing food for a day.,Digestive Issues
My dog ate fatty table scraps and is now vomiting and painful.,Digestive Issues
"My rabbit has fleas, likely from the dog.",Parasites
Cat is suddenly unable to use her back legs and is crying in pain.,Mobility Problems
My dog yelps when other dogs play near his head.,Ear Infections
"My dog seems restless and uncomfortable, pacing after meals.",Digestive Issues
Dog has chronic ear issues that flare up when his skin allergies act up.,Ear Infections
"Cat is hiding, seems lethargic, and occasionally shakes her head.",Ear Infections
My puppy's ears require frequent cleaning as a preventative measure.,Ear Infections
My dog groans when lying down or changing positions.,Mobility Problems
"Kitten may have resistant parasites or Tritrichomonas, further testing needed.",Parasites
My cat has developed scabs along her spine.,Skin Irritations
Puppy vomited pieces of chewed-up fabric.,Digestive Issues
"Cat is lethargic and hiding, along with the head shaking.",Ear Infections
Dog has what looks like a small skin tag or growth inside his ear.,Ear Infections
"My cat used to sleep on the top bunk, now she stays on the floor.",Mobility Problems
Hamster is not eating or drinking and looks hunched over.,Digestive Issues
"Ferret has waxy ears, could be mites or just wax buildup.",Ear Infections
Dog has blood and mucus in his diarrhea.,Digestive Issues
My dog has underlying food allergies that seem to trigger the ear infections.,Ear Infections
"My cat stopped using the litter box, maybe it's hard to get into.",Mobility Problems
"My ferret seems itchy, rubbing against things.",Parasites
Cat is less playful than usual.,Mobility Problems
Cat has scratched the fur off behind and below her ears.,Ear Infections
Puppy has localized demodectic mange on his face.,Parasites
Ferret is pawing at its mouth and seems nauseous.,Digestive Issues
Cat hesitates before jumping down.,Mobility Problems
Ferret has ear mites causing head shaking.,Parasites
Cat has blisters appearing on her skin.,Skin Irritations
"There's black, waxy gunk coming out of my dog's ears.",Ear Infections
My dog's ear smells yeasty.,Ear Infections
Cat has a non-healing sore on her ear flap.,Skin Irritations
Dog has chronic whipworm infection.,Parasites
Rabbit is sitting hunched and grinding its teeth.,Digestive Issues
"Dog has trouble squatting to poop, sometimes falls over.",Mobility Problems
Puppy has a dull coat and is underweight.,Parasites
Cat has started pooping outside the litter box on the rug.,Mobility Problems
"My dog's movement seems restricted, less range of motion.",Mobility Problems
My dog's skin seems greasy and has a strong odor.,Skin Irritations
"My dog walks with short, choppy steps.",Mobility Problems
My dog has extremely foul-smelling gas.,Digestive Issues
My bird has scaly mites on its legs.,Parasites
Rabbit looks dull and isn't drinking much water.,Digestive Issues
Dog has diarrhea with a fishy odor.,Digestive Issues
Dog has a rash after swimming in a pond.,Skin Irritations
Dog has bouts of vomiting and diarrhea that come and go.,Digestive Issues
Dog has chronic large bowel diarrhea due to whipworms.,Parasites
Puppy has mild redness and a small amount of wax in both ears.,Ear Infections
The discharge from my dog's ear looks slightly bloody.,Ear Infections
Ferret is pawing at his mouth and drooling.,Digestive Issues
The skin between my dog's toes is red and inflamed.,Skin Irritations
My puppy seems dizzy.,Ear Infections
My rabbit developed an abscess below its ear.,Ear Infections
My cat has a swollen lower lip.,Skin Irritations
"My cat passed several long, white, round worms in her stool.",Parasites
My cat has fleas resistant to the spot-on treatment I used.,Parasites
Cat seems to have nerve damage in her front leg after an injury.,Mobility Problems
Dog has hookworm anemia.,Parasites
"My dog's hind legs seem uncoordinated, crossing over each other.",Mobility Problems
Dog has yellowish diarrhea.,Digestive Issues
Guinea pig is not moving around its cage much.,Mobility Problems
"Dog has adult-onset generalized demodicosis, need to check for underlying issues.",Parasites
"My kitten has fleas, I saw them jumping.",Parasites
Dog has developed bald spots on his muzzle and around his eyes.,Parasites
"Ferret has tiny black specks in its fur, might be dirt or bugs.",Skin Irritations
My cat doesn't seem to hear me approaching from one side.,Ear Infections
Dog has itchy bumps primarily on his back near the tail.,Skin Irritations
My dog has lost muscle mass in his hind legs.,Mobility Problems
"Cat vomited something that looked dark brown, like old blood.",Digestive Issues
"Dog has black, tar-like stool.",Digestive Issues
"Cat has itchy, crusty lesions on the bridge of her nose.",Skin Irritations
Dog’s ears have a greasy discharge and bad smell.,Ear Infections
Cat’s ears are hot and have a yeasty smell.,Ear Infections
My cat has developed swelling on her lip.,Skin Irritations
My dog likely got tapeworms from ingesting fleas.,Parasites
My dog has had surgery (TECA) for end-stage ear condition.,Ear Infections
My dog is reluctant to go up or down stairs.,Mobility Problems
"Ferret has dark, crusty debris in his ears, likely mites.",Parasites
Dog tires easily on walks and wants to turn back early.,Mobility Problems
My dog's kneecap pops in and out of place (luxating patella).,Mobility Problems
My rabbit has sores on its feet and is losing fur there.,Parasites
My cat vomited something that looked like a small worm.,Parasites
Ferret has hind limb paralysis.,Mobility Problems
"Dog has red, irritated skin and black specks (like dirt) that turn red when wet.",Parasites
"Ferret is anemic, possibly due to fleas.",Parasites
"Cat moves very deliberately, almost like she's walking on eggshells.",Mobility Problems
"Noticed a thick, dark brown discharge inside my dog's ear flap.",Ear Infections
Puppy cries and tries to bite when I touch near his left ear.,Ear Infections
My cat's fur along her spine looks greasy and matted.,Skin Irritations
The opening to my dog's ear canal looks swollen almost closed.,Ear Infections
Cat is rubbing the side of her head on the floor and furniture.,Ear Infections
Dog has a hematoma that keeps refilling after being drained.,Ear Infections
Cat is grooming her belly so much it's almost bald.,Parasites
Dog has small blood spots on the skin where he's been scratching.,Skin Irritations
Rabbit is shaking its head and scratching behind the ears.,Parasites
The discharge from the ear is bloody.,Ear Infections
"Dog has very dark, almost black stool.",Digestive Issues
"My dog's joints seem swollen, especially his knees.",Mobility Problems
My dog sometimes walks on the top of his paw instead of the pad.,Mobility Problems
"Guinea pig has Trixacarus mange, causing intense itching and seizures.",Parasites
My hamster is scratching behind its ears constantly.,Skin Irritations
"Ferret seems weak in his back legs, dragging them slightly.",Mobility Problems
"My dog gets ear infections constantly, vet thinks mites might be involved.",Parasites
Cat has difficulty grooming her back.,Mobility Problems
Puppy vomited undigested food several hours after eating.,Digestive Issues
My cat has a drooping eyelid and smaller pupil on the same side as the head tilt.,Ear Infections
My senior dog is having trouble getting up from his bed.,Mobility Problems
"Dog strains to defecate, only producing small amounts of liquid.",Digestive Issues
Ferret has orange-ish discoloration of the skin.,Skin Irritations
My cat has a history of ear polyps.,Ear Infections
"My puppy seems unsteady on his feet, like the room is spinning.",Ear Infections
"Dog trembles sometimes, especially his back legs, when standing.",Mobility Problems
"Dog is intensely itchy, especially on his elbows and ear margins.",Parasites
"My dog drags his back toenails sometimes, making a scraping sound.",Mobility Problems
"Dog has thickened, elephant-like skin in chronically itchy areas.",Skin Irritations
Pet struggles to get up from lying down.,Mobility Problems
My rabbit has redness and swelling around its genitals.,Skin Irritations
"Cat’s back has pink, weepy sores from scratching.",Skin Irritations
My ferret seems itchy all over.,Parasites
"Cat keeps retching like she needs to cough up a hairball, but doesn't.",Digestive Issues
My dog ate chicken bones and is now lethargic and straining.,Digestive Issues
My puppy has debris in his ears that looks like coffee grounds.,Ear Infections
"My cat seems dizzy, stumbling and walking in circles.",Ear Infections
Cat seems painful when the vet manipulates her legs.,Mobility Problems
My rabbit’s ears are red and smell unpleasant.,Ear Infections
"Ferret has green, slimy diarrhea.",Digestive Issues
My cat misses jumps sometimes.,Mobility Problems
Dog has inflammation extending to the outside of the ear flap.,Ear Infections
My dog seems to lose his balance easily.,Mobility Problems
